x,y,layer1,layer2,voltage1,voltage2,current
3608.07,4081.45,POWER,BOTTOM_LAYER,0.00080065,0.000800687,-0.000273112
3608.07,4144.45,TOP_LAYER,GND,0.000789638,0.000790285,-0.00479549
3608.07,4144.45,GND,POWER,0.000790285,0.000791031,-0.00042512
3608.07,4144.45,POWER,BOTTOM_LAYER,0.000791031,0.000791088,-0.00042512
3625.68,3687.75,TOP_LAYER,GND,0.00122351,0.00122421,-0.00516374
3625.68,3687.75,GND,POWER,0.00122421,0.00122906,-0.00276687
3625.68,3687.75,POWER,BOTTOM_LAYER,0.00122906,0.00122944,-0.00276687
3626.22,3297.99,TOP_LAYER,GND,0.00145421,0.00145426,-0.000364885
3626.22,3297.99,GND,POWER,0.00145426,0.00145475,-0.000278024
3626.22,3297.99,POWER,BOTTOM_LAYER,0.00145475,0.00145479,-0.000278024
3626.22,3337.36,TOP_LAYER,GND,0.00145421,0.00145426,-0.000358119
3626.22,3337.36,GND,POWER,0.00145426,0.00145447,-0.000117636
3626.22,3337.36,POWER,BOTTOM_LAYER,0.00145447,0.00145448,-0.000117636
3626.22,3376.73,TOP_LAYER,GND,0.0014535,0.00145354,-0.000283707
3626.22,3376.73,GND,POWER,0.00145354,0.00145408,-0.00030483
3626.22,3376.73,POWER,BOTTOM_LAYER,0.00145408,0.00145412,-0.00030483
3626.22,4365.9,TOP_LAYER,GND,0.000624734,0.000624606,0.000947635
3626.22,4365.9,GND,POWER,0.000624606,0.000624586,1.11205e-05
3626.22,4365.9,POWER,BOTTOM_LAYER,0.000624586,0.000624585,1.11205e-05
3626.22,4405.27,TOP_LAYER,GND,0.000624343,0.000624327,0.000119088
3626.22,4405.27,GND,POWER,0.000624327,0.000624179,8.46596e-05
3626.22,4405.27,POWER,BOTTOM_LAYER,0.000624179,0.000624167,8.46596e-05
3626.22,4444.64,TOP_LAYER,GND,0.000624037,0.000624027,7.22809e-05
3626.22,4444.64,GND,POWER,0.000624027,0.000623867,9.11081e-05
