x;y;layer1;layer2;voltage1;voltage2;current
3675.44;3985;POWER;BOTTOM_LAYER;1.20627e-05;1.20597e-05;2.20331e-05
3675.44;4010.59;TOP_LAYER;GND;1.20267e-05;1.21014e-05;-0.000552905
3675.44;4010.59;GND;POWER;1.21014e-05;1.20046e-05;5.51743e-05
3675.44;4010.59;POWER;BOTTOM_LAYER;1.20046e-05;1.19971e-05;5.51743e-05
3675.44;4036.18;TOP_LAYER;GND;1.20267e-05;1.19792e-05;0.000352119
3675.44;4036.18;GND;POWER;1.19792e-05;1.18145e-05;9.3905e-05
3675.44;4036.18;POWER;BOTTOM_LAYER;1.18145e-05;1.18018e-05;9.3905e-05
3675.44;4189.72;TOP_LAYER;GND;9.99487e-06;1.00043e-05;-7.00462e-05
3675.44;4189.72;GND;POWER;1.00043e-05;1.03326e-05;-0.000187097
3675.44;4189.72;POWER;BOTTOM_LAYER;1.03326e-05;1.03579e-05;-0.000187097
3675.44;4215.31;TOP_LAYER;GND;1.00031e-05;1.00043e-05;-8.88853e-06
3675.44;4215.31;GND;POWER;1.00043e-05;1.02082e-05;-0.000116217
3675.44;4215.31;POWER;BOTTOM_LAYER;1.02082e-05;1.02239e-05;-0.000116217
3675.44;4240.9;TOP_LAYER;GND;9.79351e-06;9.78246e-06;8.18349e-05
3675.44;4240.9;GND;POWER;9.78246e-06;9.97465e-06;-0.000109534
3675.44;4240.9;POWER;BOTTOM_LAYER;9.97465e-06;9.98943e-06;-0.000109534
3696.54;3711.37;TOP_LAYER;GND;2.54611e-05;2.54491e-05;8.8881e-05
3696.54;3711.37;GND;POWER;2.54491e-05;2.58163e-05;-0.000209269
3696.54;3711.37;POWER;BOTTOM_LAYER;2.58163e-05;2.58445e-05;-0.000209269
3696.54;3736.97;TOP_LAYER;GND;2.50026e-05;2.48371e-05;0.00122621
3696.54;3736.97;GND;POWER;2.48371e-05;2.53484e-05;-0.000291443
3696.54;3736.97;POWER;BOTTOM_LAYER;2.53484e-05;2.53878e-05;-0.000291443
3697.53;3571.61;TOP_LAYER;GND;2.8426e-05;2.84024e-05;0.000174615
3697.53;3571.61;GND;POWER;2.84024e-05;2.82861e-05;6.62774e-05
3697.53;3571.61;POWER;BOTTOM_LAYER;2.82861e-05;2.82772e-05;6.62774e-05
3699.06;4191.69;TOP_LAYER;GND;9.44642e-06;9.38454e-06;0.000458547
3699.06;4191.69;GND;POWER;9.38454e-06;9.77614e-06;-0.000223187
3699.06;4191.69;POWER;BOTTOM_LAYER;9.77614e-06;9.80626e-06;-0.000223187
3699.06;4217.28;TOP_LAYER;GND;9.44642e-06;9.38454e-06;0.000458547
3699.06;4217.28;GND;POWER;9.38454e-06;9.68808e-06;-0.000172999
3699.06;4217.28;POWER;BOTTOM_LAYER;9.68808e-06;9.71143e-06;-0.000172999
3700.04;4051.93;TOP_LAYER;GND;1.21524e-05;1.21836e-05;-0.000231029
3700.04;4051.93;GND;POWER;1.21836e-05;1.20551e-05;7.3265e-05
3700.04;4051.93;POWER;BOTTOM_LAYER;1.20551e-05;1.20452e-05;7.3265e-05
3704.96;3297.99;TOP_LAYER;GND;3.53234e-05;3.5328e-05;-3.43091e-05
3704.96;3297.99;GND;POWER;3.5328e-05;3.53516e-05;-1.34558e-05
3704.96;3297.99;POWER;BOTTOM_LAYER;3.53516e-05;3.53534e-05;-1.34558e-05
3704.96;3337.36;TOP_LAYER;GND;3.53234e-05;3.53216e-05;1.3319e-05
3704.96;3337.36;GND;POWER;3.53216e-05;3.53213e-05;1.78075e-07
3704.96;3337.36;POWER;BOTTOM_LAYER;3.53213e-05;3.53212e-05;1.78075e-07
3704.96;3376.73;TOP_LAYER;GND;3.52515e-05;3.52506e-05;6.23898e-06
3704.96;3376.73;GND;POWER;3.52506e-05;3.52761e-05;-1.4518e-05
3704.96;3376.73;POWER;BOTTOM_LAYER;3.52761e-05;3.52781e-05;-1.4518e-05
3704.96;4365.9;TOP_LAYER;GND;5.53708e-06;5.53775e-06;-4.94682e-06
3704.96;4365.9;GND;POWER;5.53775e-06;5.53217e-06;3.17602e-06
3704.96;4365.9;POWER;BOTTOM_LAYER;5.53217e-06;5.53175e-06;3.17602e-06
3704.96;4405.27;TOP_LAYER;GND;5.50376e-06;5.50312e-06;4.73986e-06
3704.96;4405.27;GND;POWER;5.50312e-06;5.50291e-06;1.17254e-07
3704.96;4405.27;POWER;BOTTOM_LAYER;5.50291e-06;5.5029e-06;1.17254e-07
